Time (ms), Z Acceleration (g)
8528047,-0.10595703125
8528157,-0.1240234375
8528256,-0.1171875
8528356,-0.1171875
8528467,-0.12646484375
8528566,-0.11474609375
8528676,-0.1318359375
8528776,-0.1064453125
8528876,-0.103515625
8528986,-0.1171875
8529085,-0.111328125
8529185,-0.1201171875
8529285,-0.10888671875
8529385,-0.11962890625
8529495,-0.10302734375
8529595,-0.11181640625
8529695,-0.10693359375
8529795,-0.1201171875
8529894,-0.12060546875
8530004,-0.11328125
8530104,-0.1103515625
8530204,-0.1240234375
8530314,-0.119140625
8530414,-0.10546875
8530514,-0.1240234375
8530614,-0.1240234375
8530713,-0.11376953125
8530823,-0.12451171875
8530923,-0.13330078125
8531023,-0.12158203125
8531123,-0.12060546875
8531223,-0.115234375
8531333,-0.1220703125
8531433,-0.1123046875
8531532,-0.11328125
8531643,-0.12109375
8531742,-0.125
8531842,-0.12744140625
8531942,-0.1171875
8532042,-0.10693359375
8532152,-0.13037109375
8532251,-0.1259765625
8532351,-0.11181640625
8532451,-0.1025390625
8532551,-0.115234375
8532661,-0.1220703125
8532761,-0.11767578125
8532861,-0.10791015625
8532971,-0.111328125
8533070,-0.10498046875
8533181,-0.12744140625
8533280,-0.109375
8533380,-0.1015625
8533490,-0.10791015625
8533590,-0.12060546875
8533690,-0.11376953125
8533790,-0.10791015625
8533889,-0.10791015625
8533999,-0.126953125
8534099,-0.1123046875
8534199,-0.11767578125
8534299,-0.119140625
8534399,-0.12744140625
8534509,-0.1064453125
8534609,-0.11328125
8534708,-0.1220703125
8534819,-0.115234375
8534918,-0.11181640625
8535018,-0.1123046875
8535118,-0.1103515625
8535218,-0.11181640625
8535338,-0.11181640625
8535438,-0.11669921875
8535537,-0.10498046875
8535637,-0.1123046875
8535737,-0.10009765625
8535847,-0.1142578125
8535947,-0.1162109375
8536047,-0.10302734375
8536157,-0.11328125
8536257,-0.10693359375
8536366,-0.1103515625
8536466,-0.1064453125
8536566,-0.123046875
8536676,-0.1103515625
8536776,-0.11328125
8536876,-0.11376953125
8536976,-0.1240234375
8537076,-0.119140625
8537185,-0.11767578125
8537285,-0.1123046875
8537385,-0.1220703125
8537485,-0.11376953125
8537585,-0.1064453125
8537695,-0.11865234375
8537795,-0.1162109375
8537894,-0.10986328125
8538005,-0.10888671875
8538104,-0.11181640625
8538204,-0.1220703125
8538304,-0.1005859375
8538404,-0.10986328125
8538514,-0.1171875
8538614,-0.1123046875
8538713,-0.11083984375
8538813,-0.12255859375
8538913,-0.11865234375
8539023,-0.1220703125
8539123,-0.11865234375
8539223,-0.11865234375
8539333,-0.130859375
8539433,-0.1162109375
8539533,-0.1162109375
8539632,-0.1259765625
8539732,-0.11865234375
8539842,-0.1171875
8539942,-0.12646484375
8540042,-0.109375
8540142,-0.125
8540242,-0.125
8540351,-0.130859375
8540451,-0.1123046875
8540551,-0.11328125
8540651,-0.11474609375
8540751,-0.1142578125
8540861,-0.11328125
8540961,-0.11181640625
8541061,-0.12109375
8541171,-0.1142578125
8541270,-0.10400390625
8541370,-0.1025390625
8541470,-0.126953125
8541570,-0.111328125
8541680,-0.1201171875
8541780,-0.1171875
8541880,-0.10595703125
8541979,-0.12060546875
8542079,-0.1142578125
8542189,-0.11962890625
8542289,-0.11181640625
8542389,-0.115234375
8542499,-0.115234375
8542599,-0.11474609375
8542699,-0.119140625
8542798,-0.125
8542898,-0.1162109375
8543009,-0.1328125
8543108,-0.1123046875
8543208,-0.11083984375
8543308,-0.11328125
8543408,-0.10791015625
8543518,-0.126953125
8543617,-0.126953125
8543717,-0.12548828125
8543827,-0.10107421875
8543927,-0.1123046875
8544037,-0.1044921875
8544137,-0.1103515625
8544237,-0.12109375
8544347,-0.1171875
8544446,-0.1123046875
8544546,-0.11376953125
8544646,-0.12158203125
8544746,-0.12109375
8544856,-0.12158203125
8544956,-0.126953125
8545056,-0.1123046875
8545155,-0.11572265625
8545255,-0.119140625
8545365,-0.1064453125
8545465,-0.11572265625
8545565,-0.12451171875
8545675,-0.12158203125
8545775,-0.1201171875
8545875,-0.1142578125
8545974,-0.11962890625
8546074,-0.1162109375
8546185,-0.11962890625
8546284,-0.1103515625
8546384,-0.11767578125
8546484,-0.11181640625
8546584,-0.1103515625
8546694,-0.10791015625
8546793,-0.125
8546893,-0.1240234375
8547004,-0.1142578125
8547103,-0.12646484375
8547203,-0.1083984375
8547303,-0.123046875
8547403,-0.1123046875
8547513,-0.1123046875
8547612,-0.11572265625
8547712,-0.10546875
8547812,-0.126953125
8547912,-0.09765625
8548022,-0.12255859375
8548122,-0.1142578125
8548222,-0.109375
8548322,-0.11328125
8548421,-0.1123046875
8548531,-0.1123046875
8548631,-0.1201171875
8548731,-0.1025390625
8548841,-0.12109375
8548941,-0.109375
8549041,-0.10302734375
8549141,-0.11474609375
8549240,-0.11181640625
8549350,-0.11962890625
8549450,-0.126953125
8549550,-0.123046875
8549650,-0.13525390625
8549750,-0.11572265625
8549860,-0.11083984375
8549960,-0.11376953125
8550059,-0.115234375
8550169,-0.1220703125
8550269,-0.11328125
8550369,-0.13134765625
8550469,-0.123046875
8550569,-0.130859375
8550679,-0.10791015625
8550778,-0.10400390625
8550878,-0.103515625
8550978,-0.11083984375
8551078,-0.12451171875
8551188,-0.13037109375
8551288,-0.12158203125
8551388,-0.1123046875
8551498,-0.1103515625
8551597,-0.11083984375
8551707,-0.10595703125
8551807,-0.11181640625
8551907,-0.11669921875
8552017,-0.1201171875
8552117,-0.11474609375
8552217,-0.1103515625
8552317,-0.1220703125
8552416,-0.12548828125
8552527,-0.12451171875
8552626,-0.1162109375
8552726,-0.10986328125
8552826,-0.1044921875
8552926,-0.1201171875
8553036,-0.11865234375
8553136,-0.13134765625
8553235,-0.11572265625
8553345,-0.11572265625
8553445,-0.1162109375
8553545,-0.123046875
8553645,-0.12744140625
8553745,-0.11083984375
8553855,-0.103515625
8553955,-0.12109375
8554054,-0.11083984375
8554154,-0.10791015625
8554254,-0.1123046875
8554364,-0.11962890625
8554464,-0.12060546875
8554564,-0.123046875
8554674,-0.115234375
8554774,-0.115234375
8554883,-0.12109375
8554983,-0.11962890625
8555083,-0.111328125
8555193,-0.130859375
8555293,-0.103515625
8555393,-0.10498046875
8555493,-0.10888671875
8555593,-0.11376953125
8555702,-0.109375
8555802,-0.12744140625
8555902,-0.111328125
8556002,-0.1083984375
8556102,-0.10693359375
8556212,-0.12109375
8556312,-0.1142578125
8556411,-0.11572265625
8556522,-0.1259765625
8556621,-0.11328125
8556721,-0.10791015625
8556821,-0.1298828125
8556921,-0.119140625
8557031,-0.115234375
8557131,-0.1142578125
8557230,-0.12109375
8557330,-0.12255859375
8557430,-0.12158203125
8557540,-0.111328125
8557640,-0.1083984375
8557740,-0.11865234375
8557850,-0.10888671875
8557950,-0.12548828125
8558050,-0.125
8558149,-0.10498046875
8558249,-0.11767578125
8558359,-0.1201171875
8558459,-0.12548828125
8558559,-0.11669921875
8558659,-0.1162109375
8558759,-0.11962890625
8558869,-0.11328125
8558968,-0.12939453125
8559068,-0.11669921875
8559178,-0.10888671875
8559278,-0.1044921875
8559388,-0.11328125
8559488,-0.10400390625
8559588,-0.103515625
8559698,-0.1123046875
8559797,-0.109375
8559897,-0.111328125
8559997,-0.12841796875
8560097,-0.11083984375
8560207,-0.1015625
8560307,-0.12646484375
8560407,-0.1142578125
8560506,-0.11767578125
8560606,-0.12841796875
8560716,-0.12060546875
8560816,-0.11328125
8560916,-0.123046875
8561026,-0.1162109375
8561126,-0.11181640625
8561226,-0.11083984375
8561325,-0.11767578125
8561425,-0.1220703125
8561535,-0.10498046875
8561635,-0.12744140625
8561735,-0.1083984375
8561835,-0.1142578125
8561935,-0.1240234375
8562045,-0.11328125
8562144,-0.12255859375
8562244,-0.109375
8562354,-0.1123046875
8562454,-0.111328125
8562564,-0.103515625
8562664,-0.115234375
8562764,-0.11181640625
8562874,-0.12158203125
8562973,-0.12548828125
8563073,-0.11767578125
8563173,-0.12939453125
8563273,-0.1162109375
8563383,-0.1259765625
8563483,-0.12158203125
8563583,-0.119140625
8563682,-0.111328125
8563782,-0.12255859375
8563892,-0.1259765625
8563992,-0.11376953125
8564092,-0.12060546875
8564202,-0.1162109375
8564302,-0.11083984375
8564402,-0.119140625
8564501,-0.119140625
8564601,-0.10791015625
8564712,-0.10693359375
8564811,-0.11083984375
8564911,-0.1171875
8565011,-0.13037109375
8565111,-0.103515625
8565221,-0.1123046875
8565320,-0.11865234375
8565420,-0.12060546875
8565531,-0.11083984375
8565630,-0.115234375
8565730,-0.1162109375
8565830,-0.11962890625
8565930,-0.1220703125
8566040,-0.10595703125
8566139,-0.119140625
8566239,-0.1171875
8566339,-0.1044921875
8566439,-0.11083984375
8566549,-0.13134765625
8566649,-0.12744140625
8566749,-0.115234375
8566849,-0.11328125
8566948,-0.11376953125
8567059,-0.1220703125
8567158,-0.123046875
8567258,-0.11181640625
8567368,-0.1162109375
8567468,-0.12158203125
8567568,-0.12548828125
8567668,-0.10546875
8567767,-0.125
8567877,-0.11376953125
8567977,-0.1162109375
8568077,-0.1103515625
8568177,-0.1201171875
8568277,-0.11083984375
8568387,-0.119140625
8568487,-0.11572265625
8568586,-0.10986328125
8568697,-0.11865234375
8568796,-0.11181640625
8568896,-0.13134765625
8568996,-0.12060546875
8569096,-0.1318359375
8569206,-0.11669921875
8569305,-0.12939453125
8569405,-0.134765625
8569505,-0.1162109375
8569605,-0.1240234375
8569715,-0.11083984375
8569815,-0.12158203125
8569915,-0.12255859375
8570025,-0.12255859375
8570124,-0.11181640625
8570234,-0.1162109375
8570334,-0.12158203125
8570434,-0.11474609375
8570544,-0.11572265625
8570644,-0.1083984375
8570744,-0.12109375
8570844,-0.11572265625
8570943,-0.10986328125
8571053,-0.11669921875
8571153,-0.1162109375
8571253,-0.1259765625
8571353,-0.14208984375
8571453,-0.10693359375
8571563,-0.103515625
8571663,-0.115234375
8571762,-0.10986328125
8571873,-0.109375
8571972,-0.12109375
8572072,-0.1044921875
8572172,-0.1201171875
8572272,-0.1162109375
8572382,-0.125
8572482,-0.1220703125
8572581,-0.109375
8572681,-0.1240234375
8572781,-0.109375
8572891,-0.11376953125
8572991,-0.13623046875
8573091,-0.1171875
8573201,-0.125
8573301,-0.1015625
8573401,-0.1142578125
8573500,-0.109375
8573600,-0.111328125
8573710,-0.125
8573810,-0.13232421875
8573910,-0.115234375
8574010,-0.12158203125
8574110,-0.11328125
8574219,-0.1162109375
8574319,-0.10986328125
8574419,-0.1103515625
8574519,-0.11474609375
8574619,-0.123046875
8574729,-0.1025390625
8574829,-0.123046875
8574929,-0.1123046875
8575039,-0.1357421875
8575138,-0.12548828125
8575238,-0.10986328125
8575338,-0.10888671875
8575438,-0.10791015625
8575548,-0.12158203125
8575648,-0.10400390625
8575747,-0.11181640625
8575847,-0.11474609375
8575947,-0.10791015625
8576057,-0.11474609375
8576157,-0.12158203125
8576257,-0.11181640625
8576367,-0.11181640625
8576467,-0.11767578125
8576567,-0.126953125
8576666,-0.11962890625
8576766,-0.130859375
8576876,-0.10791015625
8576976,-0.11474609375
8577076,-0.11376953125
8577176,-0.12451171875
8577276,-0.123046875
8577386,-0.111328125
8577485,-0.11083984375
8577585,-0.1279296875
8577695,-0.1103515625
8577795,-0.119140625
8577905,-0.10986328125
8578005,-0.12255859375
8578105,-0.10498046875
8578215,-0.1279296875
8578314,-0.11181640625
8578414,-0.11181640625
8578514,-0.1318359375
8578614,-0.111328125
8578724,-0.11962890625
8578824,-0.1337890625
8578924,-0.1220703125
8579023,-0.12109375
8579123,-0.10302734375
8579233,-0.1201171875
8579333,-0.12109375
8579433,-0.11181640625
8579543,-0.1103515625
8579643,-0.11083984375
8579743,-0.1142578125
8579842,-0.11474609375
8579942,-0.119140625
8580053,-0.1064453125
8580152,-0.12109375
8580252,-0.125
8580352,-0.11181640625
8580452,-0.1103515625
8580562,-0.10888671875
8580661,-0.1162109375
8580761,-0.12060546875
8580871,-0.11328125
8580971,-0.12255859375
8581081,-0.09912109375
8581181,-0.1025390625
8581281,-0.11572265625
8581391,-0.119140625
8581490,-0.123046875
8581590,-0.11669921875
8581690,-0.11767578125
8581790,-0.10302734375
8581900,-0.12939453125
8582000,-0.12451171875
8582100,-0.12646484375
8582199,-0.1083984375
8582299,-0.11328125
8582409,-0.119140625
8582509,-0.11083984375
8582609,-0.11181640625
8582719,-0.109375
8582819,-0.12060546875
8582919,-0.1220703125
8583018,-0.11376953125
8583118,-0.1103515625
8583228,-0.1083984375
8583328,-0.10693359375
8583428,-0.11865234375
8583528,-0.1103515625
8583628,-0.12109375
8583738,-0.1171875
8583837,-0.11767578125
8583937,-0.10546875
8584047,-0.1123046875
8584147,-0.1123046875
8584247,-0.10546875
8584347,-0.10302734375
8584447,-0.1298828125
8584557,-0.12158203125
8584656,-0.10498046875
8584756,-0.11572265625
8584856,-0.11865234375
8584956,-0.109375
8585066,-0.10888671875
8585166,-0.10791015625
8585266,-0.1201171875
8585376,-0.11572265625
8585475,-0.11181640625
8585585,-0.115234375
8585685,-0.10791015625
8585785,-0.1083984375
8585895,-0.12548828125
8585995,-0.1142578125
8586095,-0.11767578125
8586195,-0.11474609375
8586294,-0.123046875
8586405,-0.12548828125
8586504,-0.1083984375
8586604,-0.12451171875
8586704,-0.11376953125
8586804,-0.1162109375
8586914,-0.0947265625
8587014,-0.1171875
8587113,-0.1279296875
8587223,-0.11865234375
8587323,-0.12841796875
8587423,-0.12060546875
8587523,-0.11669921875
8587623,-0.099609375
8587733,-0.10791015625
8587832,-0.1162109375
8587932,-0.1064453125
8588032,-0.12109375
8588132,-0.111328125
8588242,-0.12548828125
8588342,-0.1337890625
8588442,-0.119140625
8588552,-0.11572265625
8588651,-0.11767578125
8588761,-0.10791015625
8588861,-0.11572265625
8588961,-0.1259765625
8589071,-0.10986328125
8589171,-0.11962890625
8589271,-0.1162109375
8589371,-0.115234375
8589470,-0.1103515625
8589580,-0.13671875
8589680,-0.119140625
8589780,-0.111328125
8589880,-0.1142578125
8589980,-0.115234375
8590090,-0.109375
8590190,-0.10986328125
8590289,-0.1171875
8590399,-0.11328125
8590499,-0.13330078125
8590599,-0.119140625
8590699,-0.12158203125
8590799,-0.12060546875
8590909,-0.12939453125
8591009,-0.1162109375
8591108,-0.1142578125
8591208,-0.1201171875
8591308,-0.111328125
8591418,-0.12158203125
8591518,-0.12451171875
8591618,-0.11083984375
8591728,-0.1025390625
8591828,-0.1123046875
8591928,-0.1123046875
8592027,-0.10546875
8592127,-0.1201171875
8592237,-0.12646484375
