Time (ms), X Mangetometer (uT)
2806753,-7.201800346374512
2806853,-7.201800346374512
2806953,-7.801950454711914
2807063,-7.951988220214844
2807163,-6.751688003540039
2807253,-7.651913166046143
2807352,-7.951988220214844
2807422,-8.252062797546387
2807582,-6.601650238037109
2807662,-7.201800346374512
2807762,-6.151537895202637
2807832,-7.651913166046143
2807962,-7.501875400543213
2808062,-7.05176305770874
2808162,-5.101275444030762
2808262,-6.001500606536865
2808302,-7.951988220214844
2808462,-9.002250671386719
2808561,-7.201800346374512
2808661,-7.501875400543213
2808702,-6.151537895202637
2808861,-7.501875400543213
2808902,-8.102025985717773
2809081,-7.801950454711914
2809171,-8.252062797546387
2809261,-7.05176305770874
2809351,-8.102025985717773
2809461,-6.151537895202637
2809510,-6.9017252922058105
2809660,-7.05176305770874
2809730,-5.8514628410339355
2809802,-7.201800346374512
2809960,-7.801950454711914
2810060,-8.252062797546387
2810160,-7.501875400543213
2810260,-8.102025985717773
2810320,-7.801950454711914
2810460,-8.852212905883789
2810590,-7.651913166046143
2810680,-6.751688003540039
2810760,-8.102025985717773
2810830,-7.801950454711914
2810960,-8.552138328552246
2811009,-8.70217514038086
2811159,-7.05176305770874
2811259,-7.651913166046143
2811359,-7.201800346374512
2811402,-8.102025985717773
2811502,-7.201800346374512
2811629,-8.552138328552246
2811709,-8.852212905883789
2811859,-6.601650238037109
2811959,-6.751688003540039
2812088,-6.301575660705566
2812138,-6.601650238037109
2812202,-8.102025985717773
2812358,-6.9017252922058105
2812458,-8.102025985717773
2812528,-7.651913166046143
2812658,-5.701425552368164
2812758,-5.701425552368164
2812858,-7.801950454711914
2812958,-7.05176305770874
2813088,-7.951988220214844
2813178,-7.201800346374512
2813227,-7.201800346374512
2813358,-6.9017252922058105
2813457,-7.801950454711914
2813587,-7.201800346374512
2813677,-6.751688003540039
2813727,-6.001500606536865
2813857,-8.852212905883789
2813957,-7.801950454711914
2814087,-7.801950454711914
2814177,-6.751688003540039
2814267,-6.301575660705566
2814356,-6.151537895202637
2814456,-6.601650238037109
2814556,-7.801950454711914
2814656,-7.951988220214844
2814756,-7.05176305770874
2814856,-7.951988220214844
2814956,-8.70217514038086
2815066,-7.801950454711914
2815166,-6.9017252922058105
2815256,-7.201800346374512
2815326,-7.651913166046143
2815456,-8.70217514038086
2815565,-6.751688003540039
2815665,-6.151537895202637
2815756,-8.852212905883789
2815855,-7.05176305770874
2815955,-8.252062797546387
2816085,-6.301575660705566
2816175,-7.05176305770874
2816235,-6.751688003540039
2816375,-7.501875400543213
2816465,-6.601650238037109
2816565,-7.201800346374512
2816665,-7.201800346374512
2816754,-7.951988220214844
2816854,-7.801950454711914
2816954,-6.151537895202637
2817064,-7.501875400543213
2817164,-7.951988220214844
2817254,-6.9017252922058105
2817302,-6.751688003540039
2817444,-7.05176305770874
2817564,-7.05176305770874
2817664,-7.05176305770874
2817754,-6.9017252922058105
2817853,-7.651913166046143
2817953,-7.651913166046143
2818093,-6.301575660705566
2818184,-7.201800346374512
2818263,-9.452363014221191
2818353,-6.9017252922058105
2818453,-6.001500606536865
2818593,-7.501875400543213
2818613,-7.201800346374512
2818753,-6.151537895202637
2818853,-8.102025985717773
2818923,-7.501875400543213
2819083,-6.301575660705566
2819172,-7.05176305770874
2819262,-7.201800346374512
2819352,-7.05176305770874
2819422,-7.05176305770874
2819592,-7.951988220214844
2819662,-7.951988220214844
2819762,-8.102025985717773
2819862,-7.951988220214844
2819962,-6.9017252922058105
2820082,-7.501875400543213
2820172,-7.801950454711914
2820262,-8.102025985717773
2820362,-6.601650238037109
2820462,-7.05176305770874
2820561,-8.252062797546387
2820671,-9.002250671386719
2820761,-7.651913166046143
2820861,-7.651913166046143
2820961,-9.602400779724121
2821061,-7.951988220214844
2821171,-7.201800346374512
2821261,-7.951988220214844
2821361,-7.501875400543213
2821461,-7.951988220214844
2821530,-6.9017252922058105
2821660,-6.9017252922058105
2821760,-6.301575660705566
2821860,-7.501875400543213
2821960,-6.151537895202637
2822060,-7.05176305770874
2822160,-8.552138328552246
2822260,-8.70217514038086
2822320,-7.05176305770874
2822460,-8.252062797546387
2822590,-8.252062797546387
2822680,-7.651913166046143
2822760,-6.301575660705566
2822830,-8.252062797546387
2822959,-7.651913166046143
2823089,-7.501875400543213
2823169,-7.501875400543213
2823219,-7.501875400543213
2823359,-7.951988220214844
2823459,-7.501875400543213
2823559,-7.05176305770874
2823659,-7.651913166046143
2823759,-8.102025985717773
2823859,-7.501875400543213
2823928,-7.05176305770874
2824058,-7.201800346374512
2824158,-7.05176305770874
2824258,-8.552138328552246
2824358,-6.9017252922058105
2824458,-7.801950454711914
2824558,-7.501875400543213
2824658,-6.751688003540039
2824718,-8.552138328552246
2824858,-7.501875400543213
2824958,-6.601650238037109
2825017,-7.651913166046143
2825138,-8.70217514038086
2825258,-8.102025985717773
2825367,-8.252062797546387
2825457,-7.501875400543213
2825587,-7.801950454711914
2825677,-6.601650238037109
2825767,-7.05176305770874
2825857,-6.751688003540039
2825957,-7.801950454711914
2826087,-6.601650238037109
2826177,-8.252062797546387
2826267,-8.252062797546387
2826326,-7.651913166046143
2826406,-6.601650238037109
2826502,-7.951988220214844
2826656,-6.751688003540039
2826756,-7.501875400543213
2826856,-8.252062797546387
2826956,-8.552138328552246
2827056,-7.651913166046143
2827106,-7.05176305770874
2827256,-7.951988220214844
2827356,-6.601650238037109
2827456,-7.201800346374512
2827545,-8.552138328552246
2827656,-6.601650238037109
2827755,-5.8514628410339355
2827855,-7.951988220214844
2827955,-6.001500606536865
2828055,-7.801950454711914
2828155,-8.70217514038086
2828255,-8.102025985717773
2828355,-7.801950454711914
2828455,-7.05176305770874
2828565,-7.05176305770874
2828665,-7.651913166046143
2828775,-7.801950454711914
2828844,-8.252062797546387
2828964,-7.651913166046143
2829044,-5.401350498199463
2829154,-7.05176305770874
2829254,-7.801950454711914
2829354,-7.201800346374512
2829454,-8.552138328552246
2829584,-8.102025985717773
2829654,-7.651913166046143
2829754,-7.501875400543213
2829853,-9.452363014221191
2829954,-6.151537895202637
2830063,-6.9017252922058105
2830163,-7.201800346374512
2830203,-8.102025985717773
2830353,-7.501875400543213
2830402,-5.251312732696533
2830563,-7.201800346374512
2830663,-7.651913166046143
2830713,-6.751688003540039
2830853,-8.552138328552246
2830963,-7.201800346374512
2831073,-7.951988220214844
2831163,-7.201800346374512
2831252,-7.801950454711914
2831352,-7.201800346374512
2831422,-7.651913166046143
2831582,-7.05176305770874
2831672,-8.102025985717773
2831772,-7.651913166046143
2831832,-7.501875400543213
2831932,-7.801950454711914
2832081,-6.601650238037109
2832162,-7.501875400543213
2832262,-7.951988220214844
2832371,-6.601650238037109
2832451,-8.102025985717773
2832581,-7.05176305770874
2832602,-6.751688003540039
2832761,-8.252062797546387
2832861,-8.102025985717773
2832961,-7.951988220214844
2833081,-7.201800346374512
2833171,-7.501875400543213
2833261,-7.951988220214844
2833302,-7.201800346374512
2833461,-8.102025985717773
2833580,-7.501875400543213
2833621,-7.801950454711914
2833760,-7.05176305770874
2833860,-7.05176305770874
2833960,-6.151537895202637
2834060,-7.501875400543213
2834160,-6.751688003540039
2834260,-7.801950454711914
2834360,-8.852212905883789
2834450,-7.05176305770874
2834559,-7.801950454711914
2834660,-7.05176305770874
2834702,-7.201800346374512
2834860,-7.05176305770874
2834959,-7.651913166046143
2835089,-7.501875400543213
2835179,-7.651913166046143
2835269,-7.201800346374512
2835329,-7.951988220214844
2835459,-7.501875400543213
2835509,-7.801950454711914
2835659,-7.801950454711914
2835759,-6.9017252922058105
2835858,-8.252062797546387
2835928,-7.801950454711914
2836068,-8.552138328552246
2836168,-7.05176305770874
2836258,-6.751688003540039
2836358,-7.501875400543213
2836458,-6.601650238037109
2836568,-6.601650238037109
2836668,-6.9017252922058105
2836758,-7.951988220214844
2836858,-7.05176305770874
2836958,-7.651913166046143
2837058,-6.751688003540039
2837157,-7.801950454711914
2837258,-7.05176305770874
2837357,-7.801950454711914
2837457,-9.002250671386719
2837557,-6.301575660705566
2837657,-7.951988220214844
2837757,-6.751688003540039
2837857,-7.05176305770874
2837957,-6.9017252922058105
2838087,-6.9017252922058105
2838166,-8.102025985717773
2838256,-7.05176305770874
2838317,-7.651913166046143
2838436,-7.801950454711914
2838516,-7.05176305770874
2838666,-7.651913166046143
2838756,-9.452363014221191
2838856,-7.201800346374512
2838956,-7.501875400543213
2839086,-7.501875400543213
2839176,-7.501875400543213
2839266,-7.951988220214844
2839356,-7.05176305770874
2839456,-8.252062797546387
2839556,-7.501875400543213
2839656,-7.201800346374512
2839755,-6.9017252922058105
2839855,-7.651913166046143
2839955,-7.201800346374512
2840065,-9.152288436889648
2840165,-6.601650238037109
2840225,-7.801950454711914
2840355,-8.552138328552246
2840455,-7.951988220214844
2840525,-6.301575660705566
2840625,-8.552138328552246
2840754,-7.501875400543213
2840824,-7.05176305770874
2840954,-7.201800346374512
2841084,-7.05176305770874
2841154,-7.05176305770874
2841254,-6.9017252922058105
2841324,-8.252062797546387
2841424,-7.201800346374512
2841502,-7.501875400543213
2841624,-7.801950454711914
2841754,-8.552138328552246
2841854,-7.05176305770874
2841954,-8.252062797546387
2842083,-8.252062797546387
2842123,-6.9017252922058105
2842253,-7.501875400543213
2842333,-8.552138328552246
2842453,-6.751688003540039
2842533,-8.852212905883789
2842653,-7.951988220214844
2842753,-7.801950454711914
2842853,-7.05176305770874
2842953,-7.05176305770874
2843063,-8.552138328552246
2843162,-7.05176305770874
