Time (ms), X Acceleration (g)
3008202,-0.958984375
3008302,-0.9638671875
3008414,-0.9638671875
3008504,-0.9638671875
3008610,-0.96484375
3008702,-0.970703125
3008802,-0.9677734375
3008902,-0.96923828125
3009073,-0.96826171875
3009123,-0.96240234375
3009202,-0.96875
3009373,-0.96728515625
3009402,-0.97412109375
3009505,-0.9658203125
3009608,-0.97021484375
3009702,-0.978515625
3009812,-0.96826171875
3009902,-0.9716796875
3010092,-0.970703125
3010102,-0.9677734375
3010272,-0.9638671875
3010352,-0.96826171875
3010472,-0.95947265625
3010530,-0.9619140625
3010611,-0.9619140625
3010702,-0.97509765625
3010841,-0.96533203125
3010902,-0.96728515625
3011005,-0.9736328125
3011106,-0.9609375
3011202,-0.96142578125
3011381,-0.96826171875
3011460,-0.96044921875
3011560,-0.95703125
3011602,-0.96923828125
3011760,-0.96484375
3011802,-0.96435546875
3011902,-0.966796875
3012059,-0.9638671875
3012102,-0.9609375
3012250,-0.95947265625
3012302,-0.96875
3012479,-0.9658203125
3012579,-0.97021484375
3012602,-0.96728515625
3012702,-0.966796875
3012802,-0.96435546875
3012902,-0.96142578125
3013038,-0.9609375
3013138,-0.95703125
3013268,-0.9736328125
3013302,-0.9658203125
3013402,-0.97265625
3013530,-0.97216796875
3013618,-0.9677734375
3013708,-0.96484375
3013802,-0.96826171875
3013902,-0.9638671875
3014030,-0.9658203125
3014117,-0.9736328125
3014207,-0.96826171875
3014302,-0.96533203125
3014402,-0.9599609375
3014505,-0.9658203125
3014603,-0.97314453125
3014702,-0.9599609375
3014876,-0.97705078125
3014902,-0.9716796875
3015004,-0.97412109375
3015103,-0.96875
3015256,-0.96142578125
3015302,-0.97265625
3015402,-0.96435546875
3015575,-0.96826171875
3015602,-0.9609375
3015702,-0.96630859375
3015802,-0.96142578125
3015902,-0.97412109375
3016030,-0.96826171875
3016115,-0.97216796875
3016205,-0.958984375
3016302,-0.96484375
3016425,-0.96435546875
3016564,-0.96240234375
3016602,-0.96484375
3016702,-0.9638671875
3016814,-0.9716796875
3016902,-0.96044921875
3017005,-0.9638671875
3017110,-0.9658203125
3017274,-0.970703125
3017324,-0.97705078125
3017424,-0.9736328125
3017531,-0.96484375
3017614,-0.96044921875
3017702,-0.96728515625
3017802,-0.966796875
3017902,-0.96875
3018005,-0.9658203125
3018109,-0.96337890625
3018263,-0.966796875
3018302,-0.96435546875
3018402,-0.96923828125
3018531,-0.96484375
3018672,-0.9697265625
3018702,-0.96533203125
3018802,-0.96630859375
3018902,-0.95947265625
3019002,-0.9658203125
3019110,-0.9677734375
3019262,-0.9716796875
3019362,-0.96240234375
3019402,-0.95703125
3019591,-0.96875
3019602,-0.96044921875
3019702,-0.95703125
3019802,-0.97265625
3019902,-0.9716796875
3020007,-0.966796875
3020109,-0.9677734375
3020202,-0.9677734375
3020302,-0.96240234375
3020402,-0.970703125
3020570,-0.966796875
3020620,-0.96875
3020702,-0.95654296875
3020870,-0.96826171875
3020902,-0.96142578125
3021008,-0.97265625
3021105,-0.9736328125
3021202,-0.97021484375
3021302,-0.9677734375
3021402,-0.9677734375
3021503,-0.9638671875
3021607,-0.96923828125
3021702,-0.96142578125
3021802,-0.96630859375
3021902,-0.97216796875
3022005,-0.96337890625
3022104,-0.96435546875
3022268,-0.97509765625
3022318,-0.97509765625
3022408,-0.97021484375
3022533,-0.96142578125
3022618,-0.9716796875
3022708,-0.970703125
3022802,-0.966796875
3022902,-0.96435546875
3023033,-0.96435546875
3023117,-0.9609375
3023207,-0.96728515625
3023302,-0.9697265625
3023407,-0.96533203125
3023505,-0.97216796875
3023602,-0.96630859375
3023777,-0.9658203125
3023836,-0.966796875
3023902,-0.9560546875
3024033,-0.95947265625
3024116,-0.9609375
3024286,-0.97021484375
3024302,-0.9658203125
3024402,-0.9609375
3024531,-0.9697265625
3024606,-0.9736328125
3024702,-0.95654296875
3024802,-0.96337890625
3024902,-0.95947265625
3025030,-0.96142578125
3025115,-0.97265625
3025205,-0.96533203125
3025302,-0.9599609375
3025415,-0.97265625
3025544,-0.9599609375
3025602,-0.970703125
3025702,-0.9677734375
3025824,-0.966796875
3025902,-0.9697265625
3026030,-0.96435546875
3026114,-0.9638671875
3026204,-0.96435546875
3026314,-0.96630859375
3026414,-0.958984375
3026543,-0.96728515625
3026602,-0.96630859375
3026702,-0.96630859375
3026802,-0.95751953125
3026902,-0.9677734375
3027005,-0.97216796875
3027112,-0.96630859375
3027202,-0.96923828125
3027302,-0.96826171875
3027402,-0.970703125
3027530,-0.96533203125
3027612,-0.9580078125
3027702,-0.97265625
3027802,-0.95849609375
3027902,-0.9677734375
3028005,-0.9609375
3028107,-0.95654296875
3028281,-0.96630859375
3028302,-0.97265625
3028402,-0.97216796875
3028601,-0.96533203125
3028681,-0.96240234375
3028702,-0.96923828125
3028802,-0.9638671875
3028961,-0.97265625
3029031,-0.966796875
3029121,-0.96875
3029240,-0.96337890625
3029302,-0.97021484375
3029402,-0.96240234375
3029504,-0.966796875
3029606,-0.96484375
3029702,-0.9619140625
3029870,-0.966796875
3029902,-0.96484375
3030030,-0.96044921875
3030119,-0.96728515625
3030202,-0.96533203125
3030329,-0.96533203125
