Time (ms), Z Mangetometer (uT)
675579,-37.05926513671875
675679,-38.109527587890625
675779,-38.409603118896484
675879,-37.65941619873047
675979,-37.95949172973633
676078,-37.35934066772461
676178,-39.45986557006836
676209,-36.75918960571289
676379,-36.609153747558594
676478,-35.708927154541016
676578,-37.809452056884766
676678,-37.35934066772461
676778,-36.75918960571289
676878,-37.20930099487305
676958,-37.65941619873047
677002,-36.75918960571289
677188,-39.45986557006836
677278,-37.95949172973633
677378,-36.309078216552734
677478,-37.65941619873047
677507,-37.65941619873047
677677,-38.109527587890625
677777,-37.95949172973633
677877,-36.90922927856445
677977,-37.05926513671875
678077,-37.65941619873047
678177,-37.35934066772461
678202,-38.109527587890625
678377,-38.409603118896484
678477,-38.55963897705078
678502,-38.409603118896484
678687,-37.20930099487305
678707,-38.109527587890625
678877,-37.809452056884766
678977,-38.25956344604492
679076,-37.95949172973633
679177,-37.95949172973633
679226,-37.65941619873047
679346,-38.109527587890625
679476,-37.65941619873047
679576,-39.1597900390625
679676,-36.15903854370117
679776,-37.95949172973633
679876,-38.55963897705078
679976,-38.409603118896484
680106,-38.55963897705078
680196,-38.55963897705078
680226,-36.309078216552734
680376,-38.85971450805664
680475,-38.109527587890625
680606,-39.45986557006836
680695,-38.109527587890625
680715,-37.65941619873047
680875,-36.90922927856445
680915,-38.109527587890625
681095,-37.35934066772461
681185,-39.45986557006836
681275,-37.20930099487305
681315,-37.65941619873047
681435,-37.65941619873047
681565,-36.009002685546875
681675,-37.95949172973633
681775,-38.409603118896484
681875,-39.3098258972168
681975,-36.90922927856445
682104,-37.809452056884766
682194,-37.65941619873047
682284,-38.25956344604492
682374,-38.109527587890625
682474,-37.35934066772461
682574,-39.1597900390625
682674,-38.109527587890625
682774,-38.25956344604492
682802,-38.25956344604492
682964,-36.90922927856445
683084,-38.25956344604492
683184,-38.25956344604492
683274,-38.409603118896484
683303,-37.95949172973633
683473,-37.809452056884766
683593,-38.109527587890625
683683,-38.25956344604492
683773,-36.15903854370117
683843,-38.109527587890625
683973,-36.609153747558594
684103,-36.309078216552734
684193,-37.35934066772461
684283,-37.20930099487305
684373,-36.75918960571289
684473,-39.45986557006836
684582,-37.35934066772461
684682,-37.95949172973633
684703,-37.35934066772461
684873,-37.95949172973633
684973,-37.20930099487305
685082,-37.20930099487305
685182,-39.0097541809082
685272,-36.90922927856445
685382,-37.35934066772461
685482,-37.20930099487305
685602,-38.25956344604492
685692,-37.35934066772461
685782,-38.55963897705078
685882,-37.809452056884766
685982,-36.75918960571289
686011,-37.05926513671875
686181,-37.809452056884766
686281,-38.409603118896484
686351,-35.85896682739258
686481,-38.109527587890625
686601,-38.25956344604492
686691,-37.809452056884766
686731,-37.20930099487305
686881,-36.15903854370117
686981,-38.55963897705078
687081,-37.95949172973633
687181,-38.409603118896484
687281,-37.20930099487305
687360,-38.409603118896484
687481,-38.25956344604492
687600,-36.75918960571289
687631,-38.55963897705078
687781,-39.3098258972168
687880,-37.809452056884766
687980,-37.65941619873047
688100,-36.309078216552734
688190,-37.35934066772461
688280,-37.20930099487305
688380,-37.05926513671875
688470,-36.609153747558594
688580,-37.65941619873047
688680,-37.95949172973633
688780,-36.009002685546875
688880,-35.85896682739258
688979,-36.90922927856445
689080,-37.35934066772461
689179,-37.65941619873047
689279,-36.15903854370117
689359,-36.609153747558594
689479,-36.009002685546875
689579,-37.65941619873047
689679,-37.05926513671875
689779,-35.708927154541016
689879,-36.009002685546875
689949,-35.708927154541016
690079,-37.35934066772461
690179,-35.708927154541016
690279,-36.75918960571289
690379,-37.20930099487305
690449,-35.708927154541016
690578,-36.609153747558594
690678,-35.55889129638672
690702,-35.85896682739258
690802,-36.90922927856445
690978,-35.708927154541016
691078,-35.55889129638672
691178,-36.009002685546875
691208,-35.408851623535156
691308,-35.708927154541016
